TestName,VertexCount,Runtime(milliseconds),PITC,PITC/VertexCount,UPD,AvgDegree,
StressTests/4225,1217,107,18737,15.3961,303,5.91831,
StressTests/4226,1216,70,18670,15.3536,368,5.92132,
StressTests/4227,1216,118,18950,15.5839,373,5.98214,
StressTests/4228,1215,95,18815,15.4856,404,5.96106,
StressTests/4229,1216,114,18460,15.1809,459,5.89621,
StressTests/4230,1215,68,18596,15.3053,296,5.88918,
StressTests/4231,1215,78,19094,15.7152,264,5.98608,
StressTests/4232,1214,105,18828,15.5091,430,5.9736,
StressTests/4233,1215,90,18740,15.4239,242,5.9065,
StressTests/4234,1215,102,18504,15.2296,412,5.89439,
StressTests/4235,1215,217,18493,15.2206,359,5.88621,
StressTests/4236,1215,130,19068,15.6938,262,5.97902,
StressTests/4237,1214,92,18099,14.9086,275,5.78854,
StressTests/4238,1214,81,18584,15.3081,436,5.92187,
StressTests/4239,1214,97,18116,14.9226,337,5.8071,
StressTests/4240,1214,77,18269,15.0486,264,5.8236,
StressTests/4241,1213,96,18526,15.2729,238,5.87394,
StressTests/4242,1212,206,18537,15.2946,334,5.89779,
StressTests/4243,1212,128,18765,15.4827,346,5.94938,
StressTests/4244,1212,67,18404,15.1848,256,5.85423,
StressTests/4245,1212,62,18265,15.0701,316,5.8376,
StressTests/4246,1211,74,18485,15.2642,230,5.8678,
StressTests/4247,1211,95,19368,15.9934,183,6.03138,
StressTests/4248,1209,97,19001,15.7163,264,5.99048,
StressTests/4249,1210,100,18751,15.4967,376,5.95922,
StressTests/4250,1210,82,18885,15.6074,317,5.97437,
StressTests/4251,1209,104,18634,15.4127,395,5.9422,
StressTests/4252,1209,103,18607,15.3904,497,5.95774,
StressTests/4253,1210,65,19628,16.2215,202,6.09255,
StressTests/4254,1209,60,18294,15.1315,333,5.8593,
StressTests/4255,1207,97,18205,15.0829,238,5.83196,
StressTests/4256,1208,90,18626,15.4189,291,5.92287,
StressTests/4257,1208,83,18280,15.1325,386,5.87021,
StressTests/4258,1207,99,18417,15.2585,308,5.88391,
StressTests/4259,1207,100,18436,15.2742,220,5.87011,
StressTests/4260,1207,89,18782,15.5609,259,5.95002,
StressTests/4261,1207,105,18406,15.2494,299,5.88422,
StressTests/4262,1207,125,18331,15.1872,294,5.86749,
StressTests/4263,1206,109,18478,15.3217,510,5.94351,
StressTests/4264,1205,112,18180,15.0871,529,5.8888,
StressTests/4265,1206,97,18360,15.2239,247,5.864,
StressTests/4266,1206,96,18671,15.4818,229,5.92523,
StressTests/4267,1205,121,19190,15.9253,309,6.05193,
StressTests/4268,1204,106,18295,15.1952,339,5.87643,
StressTests/4269,1204,82,18480,15.3488,228,5.89286,
StressTests/4270,1204,96,18558,15.4136,290,5.91618,
StressTests/4271,1204,175,17931,14.8929,303,5.79393,
StressTests/4272,1204,136,18733,15.559,399,5.98024,
StressTests/4273,1203,125,18163,15.0981,431,5.87829,
StressTests/4274,1203,108,18595,15.4572,376,5.94252,
StressTests/4275,1204,113,18800,15.6146,220,5.95633,
StressTests/4276,1202,110,18515,15.4035,458,5.95012,
StressTests/4277,1202,207,18001,14.9759,234,5.80083,
StressTests/4278,1202,78,18341,15.2587,343,5.89331,
StressTests/4279,1202,119,19055,15.8527,194,6.00791,
StressTests/4280,1202,92,18667,15.53,339,5.96084,
StressTests/4281,1202,101,18184,15.1281,288,5.84938,
StressTests/4282,1201,142,18502,15.4055,197,5.9,
StressTests/4283,1202,85,18092,15.0516,430,5.85842,
StressTests/4284,1202,105,18460,15.3577,197,5.88697,
StressTests/4285,1201,149,19006,15.8251,210,6.00539,
